AccountName,gameId,Date,Hours_Played,isPositive,noOfHelpful,noOfFunny,review,isValid,Polarity,isSingle
ShadowAura,238460,"December 28, 2013",67.8 hrs on record,Recommended,1,0,"gmod puts huge emphasis on the physics and mechanics of object manipulation , which allows for a whole new range of gameplay options that set it apart from other games .",1,1,1
Ioplop,253230,Jan-27,300.5 hrs on record,Recommended,26,3,"from gui changes to new weapons , to other humanoid races , to instakill laserbeams .",1,0,1
kinggimped,219150,"July 17, 2016",521.5 hrs on record,Recommended,6,0,"you have a handful of building materials , enough food to last a week , and some simple weapons .",1,0,1
Kat,4000,"November 22, 2017",478.6 hrs on record,Recommended,3,0,99 got me a triple a game that i got about 24 hours of gameplay out of before i got bored of it .,1,-1,1
Gay Elf,294100,"May 5, 2016",44.8 hrs on record,Recommended,1,0,the gameplay is simple yet fun .,1,1,1
Hella,238460,"March 28, 2018",305.2 hrs on record,Recommended,250,556,"early access review getting raided by some tribal savages murderize the out of them one unconsious tribal savage survivor , non existiant combat skills and incapable of most other jobs throw him in the prison torture him with ancient phycic artifacts we stole from one of his factions caravans brain sets on fire a couple of times , left essensally braindead forcibly remove his arms and replace them with ancient robot arm blades he gets recuited into the colony everyone hates him due to him being disfigured and braindamaged almost no mobility , manipulation and consiousness due to forcibly installed knife arms and brain damage first thing he does with his freedom is he takes a joint from the kitchen and takes it to someone elses room smokes it and immidiately dies , due to the smokeleaf lowering his already nonexitant brain function to that of a potato avarage mood of the colony goes up as most of the colonists rival just died , they have a party colony wolves gorge themselves on his corpse",1,0,1
Blitz,4000,"July 15, 2016",103.2 hrs on record,Recommended,742,57,my suggestion to this is to play the game on a reduced difficulty and learn from your mistakes .,1,0,1
Spooky E-boy #2403,253230,"April 12, 2014",32.9 hrs on record,Recommended,1,0,"the gameplay : very fluid controls , if you get hit it's not the game's fault but yours .",1,1,1
yoda gaming,238460,"November 4, 2012",191.8 hrs on record,Recommended,1,0,"now , just combine fast paced gaming , brutal enemies , hundreds of item combinations , random dungeon structures , and a wide variety of bosses , and you've pretty much summed up this epic game .",1,1,1
boob,698780,"January 18, 2018",5.7 hrs on record,Recommended,6,1,"i mean , seriously , it's a big improvement over simon's quest , where a ing box appears and it interrupts the gameplay .",1,1,1
pyronikfool,238460,"August 8, 2016",60.3 hrs on record,Recommended,1,0,"the developer , however small , is smart and deserves the credit for making a game as genuine and knowledgeable to core , enjoyable , gameplay mechanics .",1,1,0
Lyithos,219740,"June 20, 2014",616.6 hrs on record,Recommended,0,0,"a fun , challenging survival game with an interesting gameplay style added to it .",1,1,0
Bironic,698780,"May 19, 2016",133.0 hrs on record,Recommended,1,0,"1 ) the gameplay can get a little repetitive but it's all really relaxing and calming and there's almost always room for more improvement ( and if that's not enough , you can add some mods to spice it up ) .",1,1,1
wario,219150,"January 27, 2013",3.9 hrs on record,Recommended,0,0,definitely worth a buy if you want mindless violent fun with an interesting stealth mechanic .,1,1,1
Ahmysin,219740,"January 4, 2015",6.0 hrs on record,Recommended,1,0,totally awesome first was holding back cause of the class 2d look but the gameplay and soundtrack is totally awesome not to mention the humor included .,1,1,0
unreasonably girthsome doinks,219740,"December 8, 2013",97.3 hrs on record,Recommended,1,0,"this epic 2d platformer offers a special type of combat gameplay , that i haven't experienced in any other game , and huge amounts of items , mobs and bosses that make minecraft's vanilla content look pre alpha .",1,1,1
OblivionPenguin,219150,Jun-01,159.5 hrs on record,Recommended,72,5,"while this is true of some of the earlier skirmishes , your beginners luck can quickly turn on you when you face higher numbers of enemies with more developed weapons .",1,0,1
yee haw,253230,"October 29, 2017",13.2 hrs on record,Recommended,102,1,pros + both keyboard and controller friendly ( i used both and found the controls to be crisp on both methods ) + amazing soundtrack .,1,1,0
MechMK1,219740,"July 31, 2017",258.3 hrs on record,Recommended,24,4,"all in all , i consider this game to be easy to pick up , if you do not go overboard in the beginning and settle in the middle of an ice desert on extreme difficulty on your first run .",1,1,1
The Fattest Nut,219740,"July 3, 2016",165.7 hrs on record,Recommended,0,1,"the only downside to having so much content is the amount of time spend looking on the wiki for help , and the amount of downtime mining and farming enemies between bosses .",1,0,1
adam,219150,"June 24, 2014",1.7 hrs on record,Recommended,1,0,"in conclusion , though this game is extremely violent and the combat / ai system is poor , i recommend playing it because of the excellent aesthetics and soundtrack the game provides .",1,-1,0
Richi01,238460,"August 14, 2014",92.5 hrs on record,Recommended,1,0,"for me , i found 0 bugs or glithces , so gameplay is more than enjoyable on both fronts : fun from the game itself ( plot , mechanisms , easter eggs and hidden references .",1,1,0
Deph Pyro,413150,"February 24, 2015","1,023.3 hrs on record",Recommended,1,2,"we got another new biome , a stubborn boss , more weapons and .",1,1,1
i need a girlfriend,294100,"July 8, 2015",328.4 hrs on record,Recommended,1,0,god it's just ing these new bosses and weapons and the people and events and .,1,1,0
Slim Shady,219740,"November 9, 2014",16.3 hrs on record,Recommended,1,0,": ( even after the game , there are multiple masks and weapons to unlock afterwards .",1,1,1
Vontes,238460,"January 9, 2015",1.7 hrs on record,Recommended,1,0,a lot of community maps to keep those gameplay hours running .,1,1,1
standox420,253230,Sep-15,132.1 hrs on record,Recommended,32,3,"i am giving this game a ( good score ) there are a few things i am still fumbling with as far as controls and understanding how to keep pets from walking inside and outside of my houses causing dirty floors , i also am struggling with animals that self tame that you want to release from your care that don't seem to vacate as you free them .",1,1,1
"WELCOME, THRILLHO",238460,"June 28, 2016","1,230.2 hrs on record",Recommended,1,0,"building your base and crafting are very entertaining , combat is fast paced and varied , many items have quirky but powerful utility not always obvious but very rewarding when discovered .",1,1,1
Hackdeen,219740,"December 11, 2013",13.5 hrs on record,Recommended,1,0,"it follows the disturbing story of a contract killer , wrestling control over his actions with a series of personalities .",0,-2,-2
Xaelon,294100,"July 14, 2015",428.4 hrs on record,Recommended,1,0,"take solid sidescrolling combat ( with screen filling bosses ) , combine it with minecraft esque digging and building and then add a ton of sweet loot to find and you'll have terraria .",1,1,1
Orpheolus,238460,"March 23, 2015",386.7 hrs on record,Recommended,1,0,this difficulty spike is a major downside and if you don't have friends to play with these times will be very hard even when the end of hardmode does come around with the best of stuff you are still at the disadvantage .,1,0,1
Stormo,4000,"February 4, 2017",617.7 hrs on record,Recommended,148,7,"another nice touch is that instead of simply choosing from a shortlist of cookie cutter difficulty levels like easy , medium , hard , rimworld also offers you several narrators to choose from , who don't really make the game harder or easier , but different .",1,1,1
BeardedButt,294100,"April 24, 2016",402.4 hrs on record,Recommended,0,0,best harvest moon clone yet it even has some things taken from animal crossing yes i recommend : ) pros : everything except for 2 things cons : the fishing mechanics need a little work having to face one way and click your mouse the same way for every action sucks .,1,1,1
lummis,698780,"September 13, 2015",74.7 hrs on record,Recommended,1,0,"yet it is very similar because of the gameplay and everything being composed of blocks that can be mined , moved and placed etc .",1,0,1
althanaes,219740,"March 27, 2018","12,362.6 hrs on record",Recommended,53,55,"early access review are you a compassionate , reasonable and well intentioned person who generally likes to see to it that people are taken care and prosperous then rimworld might be for you lead your colony of helpless pawns to a safe and better future build them quality furniture , fine meals , 24/7 quality medical care and all the joy objects known to man are you a sociopathic sadist , who enjoys seeing people suffer in whole or in part , here meaning that the people are either subjected to various degrees of suffering , or that the people are cut into parts and then subjected to the same degree of suffering , or that all of the people are cut into various parts , and then suffer in a 100 200 degree oven then rimworld might also be for you perform unnecessary surgery on your prisoners , feed their dead friends to them , or replace your peoples body parts with machinery build a terror inspiring dread citadel of depressing black slate brick cemented by the mortar of a thousand dead enemies , and become the city that even the pirates are terrified of do you enjoy gof nn lii ph nglui shog ot syha h lloigshogg rimworld ahornah llll ah ymg ahagl ah mods ot lloig ch nglui ahog n ghftlloig ng shogg naiiii mgn ghft ngnah fhtagn rimworld's got something for everyone .",1,1,1
Honey Badger,238460,Jul-04,794.6 hrs on record,Recommended,34,5,"you're not completely alone however , you do have a gentle tribe and a gentle outlander faction that are neutral , but give them gifts and they will become allies , they will send trade caravans to trade items , from exotic wonders to deadly weapons that can annihilate large groups of people , and make them your allies and they will even come to help you fight off raiders , whether you request them to help you out or they willingly surprise you with reinforcements , you will be more than glad to have them by your side .",1,0,1
VTG1800,113200,"March 14, 2016",0.7 hrs on record,Recommended,0,0,"positive : simple gameplay quest for mission be careful when planting , because there is a bird that can damage atmosphere music feature gameplay mood social like harvestmoon reasonable price season negative : graphics setting too low no multiplayer invite friends to farm ( you can see animal crossing ) no workshop map not large score : 8 .",1,1,0
Porcupine,253230,"November 24, 2017",8.2 hrs on record,Not Recommended,91,4,"updates are typically filled with what are technically minor achievements , without significantly touching the core gameplay oh , i added a new mental break for your pawns , same mechanic , but this action targets x instead of y ) .",1,0,1
The Grotesque Abomination,219150,"November 20, 2014",10.7 hrs on record,Recommended,0,2,"a frenetic 2d 16 bit retro top down shooter with 20 missions to play , 33 weapons to unlock , and 25 masks to unlock that each grant a special ability .",1,0,1
Taorgax,698780,"February 17, 2017",125.0 hrs on record,Recommended,49,2,"many important mechanics are barely mentioned or not even touched upon ( setting work priorities manually is one such glaring omission ) losing colonists because of mistakes you're aware of or gambles gone wrong is fine , but having them die because you didn't understand a part of the ui is frustrating , and there may be a lot of that if you don't go looking for tips before diving in too deep .",1,-1,1
Mama Bear,238460,"January 6, 2015",22.8 hrs on record,Recommended,1,0,"the storyline is extremely strong and gameplay is smooth and quick , but nothing could overcome the perfect soundtrack .",1,1,0
alsoandanswer,219150,"December 25, 2016",784.1 hrs on record,Recommended,21,56,"keep your friends close , and your enemies closer by turning them into human leather hats .",1,0,1
Cyrus Deacon,219740,"July 29, 2016",555.4 hrs on record,Recommended,3,0,luckily it was tribes people again with low tech weapons .,1,0,1
GrayStillPlays,294100,"October 9, 2016",159.9 hrs on record,Recommended,23,1,"you can choose a difficulty , a biome , a storyteller ( the style of ai when it comes to how challenges and boons come to your colony ) , and you can even generate your colonists .",1,1,1
Aavak,219740,"July 15, 2016",513.3 hrs on record,Recommended,66,1,"rimworld also boasts some amazing audio assets and impressively atmospheric music that really helps to set the mood in the game the difficulty is highly customisable , and combined with the detailed scenario editor , allows you to tailor each game to suite your particular skill level .",1,1,0
psycosulu,219740,"July 10, 2014",7.7 hrs on record,Recommended,1,0,"the gameplay was difficult at times but the responsive controls and quick respawns made death a thing to be learned from , not as a tool for punishment .",1,1,1
vladde TF:GO,219150,"April 27, 2014",15.8 hrs on record,Recommended,1,0,"and you do it again , and again , each time still dying to the same enemy left across the room .",1,0,1
Kolo,219150,"February 22, 2017",87.2 hrs on record,Recommended,23,1,"yes , some can argue that alot of the mechanics and concepts were there before , but they are put in such a great way that makes it one of the best games i've ever played .",1,1,1
Mr. Bear,219150,"July 20, 2016",2.7 hrs on record,Recommended,4,0,"i did not come from a background of dwarf fortress of prison architect , nor did i believe that i would be a fan of the methodical and careful harvesting , construction and management that rimworld's gameplay prominently features .",1,1,1
Belmont,219740,"December 14, 2014",47.6 hrs on record,Recommended,1,0,the combat is brutal and visceral and you'll invariably die a lot .,1,0,1
DUDE_,238460,"July 14, 2014",9.9 hrs on record,Recommended,1,0,"awesome soundtrack , great gameplay , buy this now",1,1,1
Nick,253230,"July 10, 2017",491.4 hrs on record,Recommended,7,0,mechanoids with devastating weapons arrive in their drop pods and crashed ships ready to incinerate you and sharp clawed insectoids which spawn at the most inopportune times possible will attempt to decapitate your colonists .,1,0,1
millseric1991,294100,"January 10, 2017",159.2 hrs on record,Recommended,62,35,they all had great weapons for that point in the game .,1,1,1
lone,253230,"October 26, 2017",12.5 hrs on record,Recommended,4,1,"not only for its interesting characters and its provocative gameplay , but its spin on what a dating sim is / can be and human to computer interactions completely hooked me on it .",1,1,0
Molon labe,4000,"July 17, 2016",237.6 hrs on record,Recommended,41,3,"game will never get boring even in the mid and late game , especially if you'll choose challenging difficulty to spice up the gameplay with some action .",1,1,1
Zear,219740,"October 12, 2017","2,271.2 hrs on record",Recommended,3,0,i put the corpses of my enemies in a special freezer and leave it open to my animals for free pet food .,1,0,1
Maelstrom,4000,"December 5, 2015",35.1 hrs on record,Recommended,1,0,that being said the combat mechanics are just awful .,1,-1,1
jc ham,253230,"March 26, 2013",43.4 hrs on record,Recommended,1,0,"the gameplay provides a very special breed of tension and strategy , mixed with sheer reckless abandon .",1,1,1
The Best Guy,698780,"June 21, 2016",75.0 hrs on record,Recommended,1,0,it has the capability to keep you at your computer long into the night with a very achievement based gameplay drive .,1,1,1
Callcenter of the Void,294100,"September 22, 2016",170.9 hrs on record,Recommended,0,0,"on a related note to combat , the way raids work removes the ability to make bases that aren't one giant building .",1,0,1
nope.,4000,"October 25, 2018",252.0 hrs on record,Recommended,19,1,": p the amount of gameplay variety is enormous , there is farming , animals , power systems , an in depth health system , different skills , travel , planetary seasons , strange individuals and even a scenario editor that allows in depth customization of the gameplay .",1,1,1
Slim Shady,238460,"November 9, 2014",16.3 hrs on record,Recommended,1,0,"or , he can pick one of the knocked down enemy's bat , and then bash his head in with it .",1,0,1
Zyga,219740,"November 11, 2017",39.5 hrs on record,Recommended,56,9,exactly what is this game the good : tight controls .,1,1,1
olevur,698780,"February 29, 2016",86.2 hrs on record,Recommended,1,0,would recommend this game for people who like pixelated graphics and enjoy having an open world where they are free to build what they want and those who are looking to battle and grind to fight the toughest monsters .,1,1,0
Zuro,219740,"March 20, 2012",49.6 hrs on record,Recommended,1,0,"it's made to be highly replayable , with no two runs being alike in the way of found power ups and enemy / room layout .",1,1,1
Eh Bored Can of Bros,219150,"June 23, 2014",10.0 hrs on record,Recommended,1,0,"shoot , bash , stab , throw , punch or execute every enemy in your path .",1,0,1
Mitalis,219740,"February 29, 2016",97.5 hrs on record,Recommended,1,0,"the game is pretty , the controls are pretty decent , the joystick support is nice although i haven't fully figured out all the controls for that yet .",1,1,0
Vultcha_,4000,"August 8, 2016",318.9 hrs on record,Recommended,4,0,"i'm looking forward to further playthroughs with mods , different start conditions , and harder difficulty at some point , as well as eagerly looking forward to what further content gets added to the game so can say for me that replayability is high for the game .",1,1,1
Kelsia,413150,"July 10, 2016",158.7 hrs on record,Recommended,1,0,"the only issue i would have with this game is the fishing mechanic as it can be a little awkward , but the modding community has created ways of getting around that get this game trust me you won't regret it : p / 10",1,1,0
b,253230,"December 7, 2018",23.4 hrs on record,Recommended,82,2,"while the main game isn't awfully long ( perhaps 10 15 hours ) , the steam workshop / community really adds to the gameplay .",1,1,0
GeoffSmites,219740,"September 25, 2016",896.4 hrs on record,Recommended,12,0,the difficulty is adjustable somewhat .,1,0,1
Montassiner,238460,"November 12, 2018",51.2 hrs on record,Recommended,71,73,"( set on rough difficulty , with no loads allowed , main ai ) i started my colony with three people , duvallo , sweatpea , and red .",1,0,1
IncongruousGoat,219740,"May 7, 2014",903.1 hrs on record,Recommended,1,0,"( for those of you who are curious , the weapons described are the stynger , the horseman's blade , and the blizzard staff . )",1,0,1
Great Hero J,294100,"October 20, 2018",245.6 hrs on record,Recommended,4,0,"the graphics seem shabby , but it works very well with the gameplay , as it keeps everything clean and simple and easy to understand .",1,1,0
SadcatIce,219740,"June 6, 2016",184.5 hrs on record,Recommended,1,0,adding in weapons is always fun .,1,0,1
Misheru-san,294100,"March 29, 2016",115.4 hrs on record,Recommended,1,0,i love everything about this game except the fishing mechanics .,1,1,0
Lunchmuny,219150,Apr-09,297.9 hrs on record,Recommended,451,86,it could also be a nightmarish hellscape of difficulty that leaves you questioning your sanity as each and every one of your colonists desperately clings to the last remnants of their fleeting hope while snorting yayo to numb the pain of their missing eye .,1,0,1
bluemuppet,219740,"November 24, 2017",13.3 hrs on record,Recommended,68,2,"an excellent example of a 3d platformer done right , with tight controls and camera work ( for the most part ) .",1,1,1
Captain Oblivious,219740,"September 14, 2018",5.8 hrs on record,Recommended,3,0,"while i've had a few technical gripes , the game makes up for them by having memorable characters , clever writing , engaging gameplay and worlds to explore , and hats also , the devs just released dlc for the base game and it's free ( for 24 hours ) who does that that's fantastic even at full price this game is worth it do yourself a favor and enjoy one of the best platformers ever made",1,1,0
NoOne,294100,"November 24, 2016",521.7 hrs on record,Recommended,10,0,"finally , my last gripe is that when playing it over and over , over coming hte struggles and problems that face early on makes each game fun and lasting , but when you get to the time of self sufficiant , decemating all enemies within seconds , and being increadably rich , gets boring and nearly all games i had ended up like that .",1,0,1
Dubzilla,219740,"July 27, 2016",131.8 hrs on record,Recommended,17,0,"after my first play i was so impressed with the gameplay , story line and content that i purchased my own copy just to support the developers .",1,1,0
Dananuh,219740,"December 4, 2013",21.7 hrs on record,Recommended,1,0,"the rooms are randomised every playthrough , which really gives the game a lot of replayability factor , because you never know what is going to turn up in every room , and that goes for everything ( bosses , items , general enemies ) .",1,1,1
KRAUSER-SAMA,698780,"October 17, 2018",55.2 hrs on record,Recommended,218,8,"there are three essential difficulties known as ai story tellers , how can these diversify your experience simply put , the higher the difficulty , the harder this game will try to f * * * you up .",1,1,1
Todd,219740,"April 9, 2014",122.9 hrs on record,Recommended,0,0,"also the enemies , they are so creative i mean look at them werepig deerclops tree guardian and much more this game is so much better than minecraft and i hope this game soon becomes bigger than minecraft overall if you are choosing minecraft over this , you sir / madam are crazy .",1,1,0
Nibbler,238460,"March 4, 2016",47.0 hrs on record,Recommended,1,0,"the gameplay retains all the fun elements of harvest moon , plus making everything much easier to do by virtue of the mouse control .",1,1,1
DiatheDragon,238460,"May 1, 2014",34.6 hrs on record,Recommended,1,0,the music is perfect as well as the gameplay .,1,1,0
Mimbsie,219740,"May 14, 2016",96.9 hrs on record,Recommended,1,0,even after nearly 70 hours of gameplay there is still so much more left to be discovered in this beautifully immersive world .,1,1,1
Riako,294100,"March 2, 2016",21.3 hrs on record,Recommended,1,0,"the controls are a bit difficult and i often water the wrong plant ( twice ) , which results in them being hyperhydrated and growing slower .",1,-1,1
Iaro Delta,219740,"July 4, 2014",20.9 hrs on record,Recommended,1,0,"the gameplay however , is just as good as the narration or even better .",1,1,0
boyflea,698780,Jul-01,0.2 hrs on record,Recommended,25,10,"pros : a refreshing take on visual novels a simple goal , well executed the poetry is a great little mechanic and it helps flesh out the competing cuties cons : as a visual novel , the first act is knowingly well trodden : you need to know there is an upcoming twist to really stick with this game my score : ( good score ) community : 99 see also .",1,1,0
Kemo,294100,"July 28, 2016",147.4 hrs on record,Recommended,219,9,"your choice of storyteller dictates what kind of events you'll see in the game while a second , traditional difficulty level , decides how tough these events will be on your colony .",1,0,1
DuoKidd,219150,"August 8, 2015",66.3 hrs on record,Recommended,1,0,the terraria experience : create character build a sweet house find a large tree with loot under it make my house better with loot head underground find sweet ores and minerals cheese your way through enemies with throwing knives and shurikens meet friendly skeleton merchant whose too expensive for you take 3 steps to the right die to boulder trap and lose gold ( good score ) sweet game full of content to waste many hours on,1,1,1
Abhainn,698780,"May 13, 2018",797.7 hrs on record,Recommended,7,1,and that's not even mentioning the complexity of how the actual settlement mechanics work .,1,0,1
avaster,219150,"December 22, 2018",577.9 hrs on record,Not Recommended,78,6,"7 the colonists just had a raid , they instead walk off leaving all of their dead buddies to go eat , why are they so stupid and incompetent to save their buddy themselves instead i have to do it myself because the mechanics are not great .",1,-1,0
MaarteN,698780,"December 21, 2016",441.7 hrs on record,Recommended,135,7,"challenging , the game keeps you at a constant pace of difficulty to keep you satisfied and not bored , although there is an option to change that for example the randy random mode .",1,1,1
LilyHammer0709,238460,"July 26, 2016",84.5 hrs on record,Recommended,21,12,"stories are generated by simulating psychology , ecology , gunplay , melee combat , climate , biomes , diplomacy , interpersonal relationships , art , medicine , trade , and more .",1,0,1
Gathos,219150,"November 20, 2014",149.1 hrs on record,Recommended,1,0,"if you don't like difficulty , anger , and death , don't buy this .",1,0,1
millseric1991,698780,"January 10, 2017",159.2 hrs on record,Recommended,62,35,"the moral of the story is to f * * king check every enemy , because those freaking frag grenades are no joke .",1,0,1
The Mint Pen,4000,"March 13, 2016",193.2 hrs on record,Recommended,1,0,"honestly if i had to give critism for the game , it would be for the fishing mechanic and i think that comes down to more personal preference than anything else .",1,0,1
